vps,domain,datum,id_status
vps1710,zullie.jmaanders.nl,2016-10-01,1
vps1711,a2p.nl,2016-10-01,1
vps1711,ahbouwens.nl,2016-10-01,1
vps1711,altijdweekend.nl,2016-10-01,1
vps1711,anitagates.nl,2016-10-01,1
vps1711,antibarbari.nl,2016-10-01,1
vps1711,ariedeboer.nl,2016-10-01,1
vps1711,assuran1.schrage.nl,2016-10-01,1
vps1711,atlastecocel.nl,2016-10-01,1
vps1711,azie.diemeer.nl,2016-10-01,1
vps1711,badmojo.nl,2016-10-01,1
vps1711,besparenoppensioenlasten.nl,2016-10-01,1
vps1711,biowatersystems.be,2016-10-01,1
vps1711,biowatersystems.com,2016-10-01,1
vps1711,biowatersystems.de,2016-10-01,1
vps1711,biowatersystems.nl,2016-10-01,1
vps1711,booking.intersail.nl,2016-10-01,1
vps1711,bouwensbeheerbv.nl,2016-10-01,1
vps1711,bridgeviewgardens.nl,2016-10-01,1
vps1711,bvoisthusen.nl,2016-10-01,1
vps1711,c-s.nl,2016-10-01,1
vps1711,car-rental.landmarks.gr,2016-10-01,1
vps1711,cartographics.nl,2016-10-01,1
vps1711,civil-solutions.nl,2016-10-01,1
vps1711,coachingfrederiksplein.nl,2016-10-01,1
vps1711,cobos.nl,2016-10-01,1
vps1711,coversensation.com,2016-10-01,1
vps1711,de.intersail.nl,2016-10-01,1
vps1711,decaravangalerij.nl,2016-10-01,1
vps1711,deltadesh.com,2016-10-01,1
vps1711,den-hartog.net,2016-10-01,1
vps1711,deoudedruckerij.nl,2016-10-01,1
vps1711,deoudetoren.nl,2016-10-01,1
vps1711,dereclamestudio.nl,2016-10-01,1
vps1711,dev.docufilm.nl,2016-10-01,1
vps1711,dev.wouterdekuyper.nl,2016-10-01,1
vps1711,deverguldevalk.nl,2016-10-01,1
vps1711,diemeer.nl,2016-10-01,1
vps1711,digitale-borden.nl,2016-10-01,1
vps1711,docentencongres.nl,2016-10-01,1
vps1711,docufilm.nl,2016-10-01,1
vps1711,druktvooru.nl,2016-10-01,1
vps1711,en.intersail.nl,2016-10-01,1
